dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,0.333333,0.329444,0.340370,0.338889,0.333333,0.480000,0.339630,0.333333,0.333333,0.312593,0.322222,0.320741
Animals,AN,0.806452,0.709677,0.720430,0.806452,0.806452,0.440860,0.666667,0.881720,0.903226,0.591398,0.096774,0.612903
AsphaltObstaclesCoordinates,AOC,0.820972,0.315431,0.416880,0.647059,0.708440,0.522592,0.671782,0.689685,0.806479,0.755328,0.038363,0.621483
AsphaltPavementTypeCoordinates,APT,0.916667,0.795455,0.577652,0.486742,0.823864,0.714962,0.789773,0.892045,0.959912,0.853220,0.059659,0.870896
AsphaltRegularityCoordinates,ARC,0.950732,0.989791,0.633822,0.516644,0.949401,0.808256,0.967155,0.804261,0.992455,0.987572,0.105193,0.987572
CharacterTrajectories,CT,0.940808,0.962396,0.669452,0.981198,0.953343,0.877205,0.974002,0.947539,0.978412,0.947772,0.689415,0.956128
DodgerLoopDay,DD,0.512500,0.529167,0.445833,0.450000,0.512500,0.308333,0.483333,0.491667,0.558333,0.425000,0.375000,0.212500
DodgerLoopGame,DG,0.521739,0.724638,0.714976,0.905797,0.521739,0.543478,0.664251,0.521739,0.521739,0.594203,0.847826,0.422705
DodgerLoopWeekend,DW,0.739130,0.944444,0.654589,0.978261,0.739130,0.816425,0.893720,0.739130,0.739130,0.968599,0.971014,0.678744
GestureMidAirD1,GM1,0.584615,0.474359,0.297436,0.338462,0.569231,0.271795,0.484615,0.494872,0.664103,0.446154,0.030769,0.515385
GestureMidAirD2,GM2,0.515385,0.346154,0.433333,0.276923,0.400000,0.243590,0.358974,0.376923,0.594872,0.258974,0.123077,0.469231
GestureMidAirD3,GM3,0.353846,0.251282,0.087179,0.176923,0.276923,0.200000,0.328205,0.287179,0.484615,0.287179,0.007692,0.348718
GesturePebbleZ1,GP1,0.883721,0.277132,0.310078,0.755814,0.790698,0.364341,0.810078,0.802326,0.887597,0.744186,0.238372,0.730620
GesturePebbleZ2,GP2,0.797468,0.318565,0.575949,0.740506,0.746835,0.402954,0.649789,0.772152,0.854430,0.571730,0.468354,0.594937
GeolifeSupervised,GS,0.736901,,,,0.309922,0.625678,,0.434968,0.604051,,,
AllGestureWiimoteX,GX,0.551429,0.165714,0.169524,0.648571,0.497143,0.165714,0.440476,0.464762,0.700476,0.347143,0.138571,0.443333
AllGestureWiimoteY,GY,0.640000,0.228571,0.175238,0.644286,0.550000,0.290476,0.461905,0.494762,0.705238,0.443810,0.125714,0.439524
AllGestureWiimoteZ,GZ,0.585714,0.220952,0.150952,0.615714,0.474286,0.142857,0.342381,0.440000,0.686667,0.206667,0.110000,0.328095
InsectWingbeat,IW,0.485120,0.653080,0.608080,,0.713000,0.123280,0.100000,0.408413,0.531920,0.187813,0.100000,0.599400
JapaneseVowels,JV,0.724324,0.964865,0.963964,0.962162,0.937838,0.594595,0.940541,0.887387,0.944144,0.958559,0.459459,0.971171
Ldfpa,LPA,0.745455,0.321212,0.278788,0.090909,0.563636,0.496970,0.369697,0.400000,0.096970,0.284848,0.090909,0.321212
Mimic3,MI3,0.363636,0.575758,0.545455,0.545455,0.454545,0.363636,0.393939,0.636364,0.545455,0.575758,0.545455,0.575758
MelbournePedestrian,MP,0.849938,0.920254,0.918956,0.876999,0.958180,0.637966,0.749077,0.899276,0.942053,0.694957,0.473555,0.927566
Physionet2012,P12,0.859254,0.857751,0.860923,0.142249,0.859504,0.842224,0.846899,0.869188,0.854579,0.788964,0.857751,0.833626
Physionet2019,P19,0.940744,0.942869,0.940477,,0.953595,,0.946311,0.949062,0.947661,0.944361,0.057106,0.937260
Pamap2,PAM,0.684211,,,,0.500000,,,0.447368,0.771930,,,
Garment,PGE,0.666667,0.833333,0.833333,0.833333,0.666667,0.611111,0.611111,0.666667,0.666667,0.777778,0.666667,0.611111
PickupGestureWiimoteZ,PGZ,0.460000,0.393333,0.293333,0.620000,0.540000,0.353333,0.480000,0.613333,0.740000,0.646667,0.140000,0.573333
PLAID,PL,0.910615,0.416201,0.301055,0.759777,0.772812,0.472377,0.620112,0.515208,0.901304,0.442582,0.337058,0.507759
SpokenArabicDigits,SAD,0.980900,0.988404,0.988480,0.971351,0.970896,0.739275,0.977111,0.668031,0.975595,0.945278,0.608004,0.989389
Seabirds,SE,0.636364,0.686869,0.626263,0.606061,0.636364,0.575758,0.606061,0.858586,0.848485,0.484848,0.424242,0.414141
ShakeGestureWiimoteZ,SGZ,0.760000,0.440000,0.453333,0.800000,0.660000,0.206667,0.493333,0.746667,0.880000,0.593333,0.140000,0.546667
Taxi,TA,0.567896,0.516761,0.516761,,0.822333,0.523978,0.517091,0.551043,0.652443,0.517265,,0.517521
Vehicles,VE,0.973913,0.739130,0.762319,0.904348,0.947826,0.747826,0.762319,0.924638,0.953623,0.742029,0.539130,0.698551
