dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.005500,0.018504,,,0.024961,0.008486,0.000000,0.000000,0.029945,0.000000,0.004491
Animals,AN,,0.000000,0.018624,,,0.081181,0.018624,0.018624,0.032258,0.037248,0.000000,0.000000
AsphaltObstaclesCoordinates,AOC,,0.003907,0.195732,,,0.012873,0.030512,0.025618,0.008221,0.021296,0.000000,0.031009
AsphaltPavementTypeCoordinates,APT,,0.022549,0.223862,,,0.007149,0.006561,0.025428,0.002893,0.008091,0.000000,0.016246
AsphaltRegularityCoordinates,ARC,,0.002772,0.095900,,,0.003523,0.008026,0.217166,0.005041,0.003351,0.000000,0.003075
CharacterTrajectories,CT,,0.043511,0.275529,,,0.011576,0.003835,0.021354,0.003035,0.048257,0.000000,0.018106
DodgerLoopDay,DD,,0.026021,0.068845,,,0.097093,0.019094,0.038188,0.026021,0.064952,0.000000,0.012500
DodgerLoopGame,DG,,0.075654,0.074371,,,0.040346,0.123472,0.000000,0.000000,0.113886,0.000000,0.032676
DodgerLoopWeekend,DW,,0.018236,0.261707,,,0.132102,0.133878,0.000000,0.000000,0.011069,0.000000,0.067330
GestureMidAirD1,GM1,,0.031088,0.069373,,,0.029123,0.103489,0.017765,0.016013,0.013323,0.000000,0.040704
GestureMidAirD2,GM2,,0.042829,0.049455,,,0.066321,0.135072,0.035251,0.039474,0.231452,0.000000,0.027735
GestureMidAirD3,GM3,,0.017765,0.011750,,,0.007692,0.027014,0.047001,0.026647,0.132418,0.000000,0.022206
GesturePebbleZ1,GP1,,0.054951,0.085117,,,0.020418,0.048411,0.036308,0.020418,0.017442,0.000000,0.052754
GesturePebbleZ2,GP2,,0.037085,0.246835,,,0.013175,0.085463,0.045640,0.045640,0.106723,0.000000,0.033491
GeolifeSupervised,GS,,,,,,0.143501,,0.004184,0.148854,,,
AllGestureWiimoteX,GX,,0.093416,0.037643,,,0.031004,0.067315,0.113788,0.005408,0.077183,0.000000,0.002974
AllGestureWiimoteY,GY,,0.062155,0.053191,,,0.000825,0.027640,0.134713,0.019024,0.087205,0.000000,0.017043
AllGestureWiimoteZ,GZ,,0.079467,0.022961,,,0.039149,0.038660,0.129709,0.009512,0.104835,0.000000,0.015671
InsectWingbeat,IW,,0.008241,0.002252,,,0.006303,0.000000,0.307564,0.004525,0.061056,,0.005103
JapaneseVowels,JV,,0.003822,0.006802,,,0.018919,0.019489,0.108524,0.006242,0.013603,0.000000,0.004128
Ldfpa,LPA,,0.174710,0.121061,,,0.020995,0.093302,0.166639,0.010497,0.055546,0.000000,0.037848
Mimic3,MI3,,0.052486,0.000000,,,0.157459,0.189242,0.157459,0.000000,0.052486,0.000000,0.052486
MelbournePedestrian,MP,,0.000870,0.009671,,,0.020922,0.040262,0.041664,0.001707,0.291089,0.000000,0.005974
Physionet2012,P12,,0.000000,0.006342,,,0.004830,0.002130,0.002040,0.003554,0.027567,0.000000,0.007585
Physionet2019,P19,,0.000035,0.000777,,,,0.004501,0.002396,0.001583,0.001007,,0.004055
Pamap2,PAM,,,,,,,,0.293040,0.066227,,,
Garment,PGE,,0.000000,0.000000,,,0.254588,0.192450,0.000000,0.000000,0.096225,0.000000,0.096225
PickupGestureWiimoteZ,PGZ,,0.030551,0.130128,,,0.011547,0.295973,0.090185,0.000000,0.064291,0.000000,0.064291
PLAID,PL,,0.025019,0.091159,,,0.017894,0.035675,0.011378,0.008534,0.044744,0.000000,0.017303
SpokenArabicDigits,SAD,,0.000965,0.001389,,,0.012281,0.002665,0.388392,0.002051,0.014878,0.000000,0.003647
Seabirds,SE,,0.114725,0.214988,,,0.030303,0.052486,0.034991,0.030303,0.052486,0.000000,0.092577
ShakeGestureWiimoteZ,SGZ,,0.028284,0.075719,,,0.030551,0.030551,0.080829,0.020000,0.098658,0.000000,0.064291
Taxi,TA,,,0.000000,,,0.002722,0.001030,0.019409,0.009550,0.000240,,0.000413
Vehicles,VE,,0.023007,0.010041,,,0.023007,0.005020,0.018101,0.018101,0.026566,0.000000,0.035143
