dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,0.166667,0.325937,0.277172,0.307887,0.166667,0.410304,0.271693,0.166667,0.166667,0.299918,0.320730,0.311190
Animals,AN,0.798786,0.647009,0.681155,0.803083,0.804762,0.428943,0.638106,0.880449,0.898194,0.585713,0.073430,0.609406
AsphaltObstaclesCoordinates,AOC,0.818800,0.296966,0.312379,0.636910,0.681617,0.505035,0.658542,0.683548,0.802784,0.754025,0.020492,0.624355
AsphaltPavementTypeCoordinates,APT,0.911459,0.783556,0.491419,0.339645,0.804984,0.693216,0.765906,0.882505,0.956695,0.839386,0.045119,0.857409
AsphaltRegularityCoordinates,ARC,0.950720,0.989791,0.632975,0.357234,0.949401,0.807822,0.967152,0.766157,0.992454,0.987571,0.104620,0.987572
CharacterTrajectories,CT,0.937497,0.960140,0.641856,0.979377,0.950370,0.870197,0.972069,0.944628,0.977335,0.944915,0.683518,0.952009
DodgerLoopDay,DD,0.507536,0.521378,0.456626,0.443067,0.516632,0.292993,0.446221,0.485832,0.544388,0.429454,0.227943,0.199394
DodgerLoopGame,DG,0.342857,0.720506,0.713001,0.903977,0.342857,0.506807,0.598391,0.342857,0.342857,0.571607,0.846853,0.418894
DodgerLoopWeekend,DW,0.425000,0.930339,0.631582,0.972063,0.425000,0.800371,0.783715,0.425000,0.425000,0.959587,0.963072,0.625248
GestureMidAirD1,GM1,0.580647,0.465833,0.243732,0.332282,0.566376,0.226675,0.457400,0.488565,0.658519,0.408101,0.044414,0.504587
GestureMidAirD2,GM2,0.501135,0.315025,0.397346,0.255612,0.390203,0.200796,0.297186,0.359871,0.572275,0.235457,0.128480,0.454867
GestureMidAirD3,GM3,0.336014,0.223351,0.061327,0.139134,0.245704,0.169223,0.308767,0.259181,0.477804,0.269017,0.005495,0.323258
GesturePebbleZ1,GP1,0.882512,0.270225,0.231339,0.750898,0.784745,0.320997,0.810067,0.795428,0.887367,0.747598,0.163859,0.725960
GesturePebbleZ2,GP2,0.788421,0.308471,0.562556,0.735754,0.727151,0.347725,0.631696,0.764468,0.850448,0.544663,0.431865,0.584160
GeolifeSupervised,GS,0.412013,,,,0.132747,0.524336,,0.066069,0.312085,,,
AllGestureWiimoteX,GX,0.554478,0.085288,0.111849,0.654503,0.502001,0.131097,0.436425,0.469231,0.702467,0.326782,0.105990,0.441914
AllGestureWiimoteY,GY,0.639104,0.183798,0.126161,0.646716,0.547819,0.261706,0.455270,0.494435,0.702827,0.433995,0.125047,0.436156
AllGestureWiimoteZ,GZ,0.578854,0.171224,0.095674,0.616351,0.476351,0.105343,0.328485,0.436662,0.686105,0.185056,0.064740,0.327220
InsectWingbeat,IW,0.483027,0.649772,0.607149,,0.712878,0.100499,0.018182,0.388486,0.529892,0.131871,0.018182,0.597418
JapaneseVowels,JV,0.711495,0.963245,0.962249,0.959839,0.933158,0.572030,0.937608,0.888278,0.944134,0.956990,0.469713,0.970381
Ldfpa,LPA,0.733340,0.275555,0.209578,0.015152,0.533025,0.443826,0.334740,0.323626,0.023088,0.255764,0.015152,0.274116
Mimic3,MI3,0.266667,0.415850,0.352941,0.352941,0.410714,0.336956,0.356241,0.561310,0.352941,0.456933,0.352941,0.415850
MelbournePedestrian,MP,0.849405,0.919987,0.918013,0.875844,0.957867,0.630229,0.737900,0.899300,0.941847,0.668208,0.439641,0.927252
Physionet2012,P12,0.508626,0.461715,0.609931,0.124534,0.553273,0.491843,0.560576,0.625971,0.470114,0.551455,0.461715,0.561108
Physionet2019,P19,0.708123,0.485297,0.545791,,0.745644,,0.693638,0.662696,0.712399,0.723659,0.054021,0.710790
Pamap2,PAM,0.531349,,,,0.328571,,,0.370435,0.663059,,,
Garment,PGE,0.400000,0.777778,0.777778,0.777778,0.400000,0.567857,0.481481,0.400000,0.400000,0.651852,0.400000,0.428571
PickupGestureWiimoteZ,PGZ,0.460958,0.337415,0.263170,0.605556,0.538434,0.296100,0.459541,0.597332,0.731802,0.645865,0.159015,0.571567
PLAID,PL,0.872640,0.362820,0.198494,0.642581,0.713097,0.275641,0.527772,0.471357,0.849802,0.389308,0.195229,0.452963
SpokenArabicDigits,SAD,0.980882,0.988413,0.988467,0.971530,0.970927,0.739204,0.977041,0.653406,0.975659,0.945243,0.622140,0.989409
Seabirds,SE,0.472222,0.481786,0.491956,0.383992,0.418519,0.325120,0.402232,0.823384,0.802187,0.265298,0.260121,0.240147
ShakeGestureWiimoteZ,SGZ,0.749095,0.341647,0.380969,0.765987,0.652540,0.117649,0.459246,0.749039,0.878899,0.571026,0.133333,0.487119
Taxi,TA,0.424008,0.227134,0.227134,,0.772034,0.325737,0.251644,0.384842,0.568915,0.247069,,0.245306
Vehicles,VE,0.967208,0.502628,0.596992,0.877292,0.935053,0.630260,0.649177,0.902734,0.941484,0.619029,0.395877,0.590628
