dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.008443,0.094360,,,0.023672,0.007097,0.000000,0.000000,0.029787,0.000000,0.009192
Animals,AN,,0.000000,0.031069,,,0.113326,0.054936,0.018103,0.035996,0.032504,0.000000,0.009347
AsphaltObstaclesCoordinates,AOC,,0.004079,0.275800,,,0.007693,0.027152,0.026047,0.008447,0.020645,0.000000,0.031456
AsphaltPavementTypeCoordinates,APT,,0.017942,0.311926,,,0.004383,0.008714,0.027659,0.003332,0.009871,0.000000,0.017227
AsphaltRegularityCoordinates,ARC,,0.002772,0.095598,,,0.003366,0.008027,0.280315,0.005041,0.003351,0.000000,0.003075
CharacterTrajectories,CT,,0.045337,0.304167,,,0.014339,0.004172,0.022223,0.003187,0.050523,0.000000,0.020584
DodgerLoopDay,DD,,0.024356,0.071410,,,0.117290,0.036705,0.039070,0.028139,0.062547,0.000000,0.021707
DodgerLoopGame,DG,,0.073280,0.073289,,,0.041640,0.221324,0.000000,0.000000,0.098935,0.000000,0.032773
DodgerLoopWeekend,DW,,0.022093,0.267056,,,0.128587,0.310656,0.000000,0.000000,0.014534,0.000000,0.020351
GestureMidAirD1,GM1,,0.040114,0.076042,,,0.024767,0.109620,0.017452,0.015396,0.021732,0.000000,0.042886
GestureMidAirD2,GM2,,0.045454,0.080732,,,0.077806,0.147697,0.025213,0.049011,0.247186,0.000000,0.034208
GestureMidAirD3,GM3,,0.024710,0.018023,,,0.013407,0.027298,0.045508,0.027716,0.114463,0.000000,0.027175
GesturePebbleZ1,GP1,,0.058053,0.143117,,,0.022012,0.049085,0.039162,0.019334,0.020794,0.000000,0.056730
GesturePebbleZ2,GP2,,0.043127,0.238263,,,0.012322,0.097152,0.051011,0.048722,0.096738,0.000000,0.035642
GeolifeSupervised,GS,,,,,,0.286713,,0.019347,0.148755,,,
AllGestureWiimoteX,GX,,0.085265,0.041702,,,0.051899,0.079060,0.114821,0.006079,0.089360,0.000000,0.002378
AllGestureWiimoteY,GY,,0.070398,0.066150,,,0.006964,0.036326,0.137298,0.019944,0.100354,0.000000,0.017421
AllGestureWiimoteZ,GZ,,0.094653,0.040189,,,0.035123,0.036108,0.130371,0.009117,0.115231,0.000000,0.016611
InsectWingbeat,IW,,0.010469,0.003068,,,0.020632,0.000000,0.336097,0.003609,0.072352,,0.004297
JapaneseVowels,JV,,0.003653,0.006825,,,0.024878,0.017822,0.100323,0.009164,0.014875,0.000000,0.005018
Ldfpa,LPA,,0.196169,0.144769,,,0.027870,0.089504,0.195467,0.013746,0.059824,0.000000,0.031678
Mimic3,MI3,,0.108961,0.000000,,,0.169147,0.154562,0.215475,0.000000,0.095825,0.000000,0.108961
MelbournePedestrian,MP,,0.000882,0.010319,,,0.019881,0.044614,0.041666,0.001695,0.335399,0.000000,0.006054
Physionet2012,P12,,0.000000,0.021550,,,0.010908,0.024612,0.008186,0.010857,0.009000,0.000000,0.014380
Physionet2019,P19,,0.000009,0.018519,,,,0.007857,0.032109,0.011958,0.002523,,0.011504
Pamap2,PAM,,,,,,,,0.322520,0.098590,,,
Garment,PGE,,0.000000,0.000000,,,0.293488,0.256600,0.000000,0.000000,0.218110,0.000000,0.049487
PickupGestureWiimoteZ,PGZ,,0.034343,0.139871,,,0.022178,0.336675,0.119884,0.001994,0.066551,0.000000,0.059502
PLAID,PL,,0.041964,0.100105,,,0.007346,0.025435,0.022402,0.005859,0.063983,0.000000,0.020384
SpokenArabicDigits,SAD,,0.000980,0.001390,,,0.012029,0.002694,0.416477,0.002034,0.014972,0.000000,0.003646
Seabirds,SE,,0.152513,0.168934,,,0.081130,0.148072,0.037825,0.080848,0.020953,0.000000,0.062779
ShakeGestureWiimoteZ,SGZ,,0.047950,0.083289,,,0.053174,0.036978,0.075421,0.021630,0.106299,0.000000,0.086196
Taxi,TA,,,0.000000,,,0.008418,0.022983,0.059399,0.013261,0.014269,,0.005461
Vehicles,VE,,0.075905,0.008303,,,0.075152,0.017635,0.024884,0.022862,0.034083,0.000000,0.011341
