dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,5.403,207.301,26.439,0.005,0.970,1270.363,10.154,0.537,0.151,69.925,2.371,53.821
Animals,AN,15.394,5949.834,120.771,0.172,11.944,91.173,23.004,1.609,1.148,343.282,8.022,202.508
AsphaltObstaclesCoordinates,AOC,208.008,5514.498,1257.430,3.211,138.441,90.696,81.576,12.037,22.788,5735.731,597.985,2581.619
AsphaltPavementTypeCoordinates,APT,712.933,47014.365,9275.245,38.483,298.195,177.806,12866.835,47.328,35.238,112959.481,7017.686,21120.901
AsphaltRegularityCoordinates,ARC,474.059,246104.235,16048.148,45.885,136.698,172.955,87925.374,42.429,48.981,247270.711,4076.886,18615.199
CharacterTrajectories,CT,214.930,18010.815,1527.329,1.559,611.533,240.809,459.444,43.535,189.656,3500.675,1442.903,1970.674
DodgerLoopDay,DD,15.338,1984.370,88.188,0.014,32.172,108.407,37.778,1.008,7.306,402.583,11.570,230.117
DodgerLoopGame,DG,6.310,1054.236,38.376,0.005,0.819,108.665,17.157,0.531,0.172,170.940,2.412,60.756
DodgerLoopWeekend,DW,6.435,1518.001,64.551,0.004,0.714,243.320,38.003,0.603,0.167,220.570,2.401,307.101
GestureMidAirD1,GM1,15.732,10389.693,474.383,0.649,346.338,155.217,73.947,2.811,24.914,1152.779,63.442,582.568
GestureMidAirD2,GM2,17.637,15735.970,462.805,0.668,364.045,187.573,153.488,2.739,26.209,1524.533,63.568,1075.425
GestureMidAirD3,GM3,18.524,7431.327,464.267,0.658,439.504,136.173,77.679,2.925,28.332,1225.144,64.197,630.425
GesturePebbleZ1,GP1,17.803,6786.121,333.059,0.475,61.099,88.534,52.367,1.724,4.948,1444.418,45.384,570.207
GesturePebbleZ2,GP2,19.573,6564.625,994.135,0.560,71.346,86.867,47.106,1.844,5.145,1247.568,53.200,792.021
GeolifeSupervised,GS,4717.774,,,,1234.335,4811.211,,1641.262,25700.945,,,
AllGestureWiimoteX,GX,32.724,4793.585,413.829,1.275,372.631,51.271,73.347,3.093,16.097,1999.795,92.871,1181.516
AllGestureWiimoteY,GY,29.736,5261.573,597.392,1.249,373.543,58.279,66.622,3.050,16.622,2504.022,96.353,1130.241
AllGestureWiimoteZ,GZ,33.848,6387.037,518.256,1.282,229.644,84.671,85.006,3.035,17.056,2846.977,92.977,1173.617
InsectWingbeat,IW,21253.451,6955.482,1423.684,,2709.731,38744.631,5866.750,21085.930,75.588,5225.335,139177.926,5767.594
JapaneseVowels,JV,16.115,286.608,50.631,0.090,131.632,89.575,88.139,17.412,6.088,196.163,18.254,335.598
Ldfpa,LPA,363.793,31500.590,3844.293,8.093,277.106,183.729,10300.144,39.712,26.385,39904.670,71.878,35626.521
Mimic3,MI3,11.428,1420.772,40.919,0.053,3.205,73.641,13.877,5.338,0.393,112.955,2.593,80.337
MelbournePedestrian,MP,16.068,6218.559,117.906,0.144,304.777,201.947,543.878,7.629,141.418,1167.879,313.092,481.601
Physionet2012,P12,3639.707,72351.838,4134.793,10.090,178.480,1200.703,7494.612,1010.260,12.731,9398.394,2885.091,7738.910
Physionet2019,P19,20846.615,243157.256,44928.924,,445.261,,292903.819,4974.974,114.326,116548.152,72792.982,50876.638
Pamap2,PAM,74775.172,,,,3930.542,,,1062.889,22822.664,,,
Garment,PGE,5.471,784.052,50.402,0.006,0.744,196.286,9.449,1.573,0.230,38.602,2.057,20.540
PickupGestureWiimoteZ,PGZ,7.213,2177.621,243.996,0.175,0.947,107.374,29.359,0.850,1.413,364.253,5.129,195.624
PLAID,PL,77.756,56778.059,4574.610,8.727,451.687,103.782,5128.292,6.376,39.987,26057.195,1335.076,6995.094
SpokenArabicDigits,SAD,7464.622,32981.265,1816.908,7.435,70.949,927.745,1954.419,530.048,101.804,6945.864,12852.529,6972.781
Seabirds,SE,171.595,80040.316,1878.757,4.954,16.992,120.858,20876.938,7.505,38.678,59713.575,1411.029,3112.841
ShakeGestureWiimoteZ,SGZ,7.929,1817.006,265.490,0.178,28.280,113.483,24.248,0.730,1.664,324.049,5.773,237.258
Taxi,TA,13959.480,860649.595,46509.388,,318.934,10587.344,20346.033,940.663,329.492,197573.334,,92204.666
Vehicles,VE,105.735,76037.279,1303.775,3.078,32.169,113.011,102.995,5.753,5.804,10972.518,689.066,2330.970
