dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,8.163,5.747,,,2016.491,1.500,0.085,0.002,16.027,0.117,10.912
Animals,AN,,509.536,23.553,,,24.133,4.038,0.183,0.041,40.336,0.105,29.081
AsphaltObstaclesCoordinates,AOC,,905.574,503.175,,,28.246,1.757,0.830,0.732,894.652,7.395,436.039
AsphaltPavementTypeCoordinates,APT,,10148.633,3823.206,,,4.370,21192.807,3.572,0.310,7006.060,103.716,1386.407
AsphaltRegularityCoordinates,ARC,,140402.183,5475.456,,,59.508,7574.940,2.889,0.494,10846.493,51.418,1278.367
CharacterTrajectories,CT,,4778.955,719.156,,,86.064,83.780,3.239,3.047,587.613,4.661,289.693
DodgerLoopDay,DD,,478.444,23.673,,,30.242,8.771,0.026,0.342,83.343,0.210,29.340
DodgerLoopGame,DG,,215.407,5.713,,,66.904,9.354,0.099,0.002,7.752,0.163,10.972
DodgerLoopWeekend,DW,,903.823,39.111,,,141.079,36.438,0.087,0.013,102.616,0.166,377.448
GestureMidAirD1,GM1,,2848.705,163.338,,,41.605,19.408,0.127,0.766,168.229,0.474,103.576
GestureMidAirD2,GM2,,1939.016,85.862,,,100.050,37.101,0.119,0.598,457.992,0.102,265.282
GestureMidAirD3,GM3,,1117.650,221.866,,,38.816,18.195,0.096,1.049,121.029,0.328,26.211
GesturePebbleZ1,GP1,,5500.134,14.358,,,27.208,8.580,0.191,0.276,360.429,0.569,163.725
GesturePebbleZ2,GP2,,1563.273,52.787,,,26.356,8.568,0.024,0.272,78.255,0.858,148.517
GeolifeSupervised,GS,,,,,,6529.276,,21.957,127.323,,,
AllGestureWiimoteX,GX,,1651.683,132.703,,,25.077,4.851,0.091,0.987,339.395,0.944,369.221
AllGestureWiimoteY,GY,,447.324,76.639,,,11.299,2.032,0.120,0.488,363.118,0.487,190.706
AllGestureWiimoteZ,GZ,,3059.583,66.679,,,23.963,2.771,0.104,0.721,649.237,0.464,223.777
InsectWingbeat,IW,,138.074,61.888,,,8865.867,1600.444,511.974,1.474,248.257,,1049.735
JapaneseVowels,JV,,78.905,0.297,,,26.739,7.452,1.605,0.430,111.961,0.329,42.033
Ldfpa,LPA,,11203.552,303.077,,,10.910,17129.128,1.037,0.398,5075.814,0.836,26816.217
Mimic3,MI3,,334.833,10.085,,,15.955,2.210,0.124,0.236,34.768,0.145,12.429
MelbournePedestrian,MP,,7.421,12.925,,,84.974,207.316,0.329,0.893,241.024,5.436,88.435
Physionet2012,P12,,32359.046,947.477,,,204.133,11943.385,19.192,0.680,1240.967,9.046,1134.594
Physionet2019,P19,,112147.528,6109.329,,,,72190.367,499.290,1.926,21998.921,,6109.697
Pamap2,PAM,,,,,,,,88.427,91.197,,,
Garment,PGE,,164.705,68.796,,,122.707,0.512,0.029,0.099,25.255,0.140,3.268
PickupGestureWiimoteZ,PGZ,,670.292,141.601,,,28.191,14.729,0.157,0.045,63.054,0.201,15.130
PLAID,PL,,23274.713,3922.672,,,2.693,8383.789,0.048,1.417,2243.682,6.022,1155.450
SpokenArabicDigits,SAD,,5647.826,133.013,,,145.401,398.151,46.590,0.993,535.735,1119.938,938.311
Seabirds,SE,,34115.706,119.854,,,30.398,2926.759,0.052,0.652,14903.102,23.667,591.158
ShakeGestureWiimoteZ,SGZ,,119.337,29.102,,,68.353,5.243,0.068,0.115,20.189,0.053,33.428
Taxi,TA,,,20504.283,,,6509.520,7433.723,13.228,10.249,30350.889,,29596.708
Vehicles,VE,,5833.687,589.090,,,50.289,26.612,0.147,0.138,6395.572,9.455,196.278
