dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,0.111111,0.195317,0.171229,0.185685,0.111111,0.283352,0.169328,0.111111,0.111111,0.178669,0.191270,0.185570
Animals,AN,0.669913,0.520924,0.542898,0.673660,0.687646,0.285907,0.500893,0.789943,0.821140,0.435769,0.038961,0.456106
AsphaltObstaclesCoordinates,AOC,0.697214,0.178320,0.223143,0.472157,0.540447,0.342812,0.504728,0.527640,0.672122,0.607048,0.010684,0.467560
AsphaltPavementTypeCoordinates,APT,0.839944,0.656472,0.383450,0.232907,0.690067,0.547921,0.645139,0.797816,0.918062,0.737632,0.023442,0.762065
AsphaltRegularityCoordinates,ARC,0.906070,0.979798,0.468231,0.265508,0.903675,0.677709,0.936472,0.684498,0.985054,0.975462,0.055348,0.975461
CharacterTrajectories,CT,0.886720,0.930288,0.549168,0.961629,0.910005,0.783999,0.948130,0.900254,0.956599,0.901816,0.563159,0.913861
DodgerLoopDay,DD,0.367322,0.411724,0.327753,0.321221,0.375243,0.187952,0.345921,0.375860,0.409074,0.312213,0.157069,0.115256
DodgerLoopGame,DG,0.260870,0.567495,0.557942,0.825045,0.260870,0.351078,0.468653,0.260870,0.260870,0.411172,0.734579,0.266424
DodgerLoopWeekend,DW,0.369565,0.871953,0.510290,0.945963,0.369565,0.683022,0.742722,0.369565,0.369565,0.923256,0.929300,0.470660
GestureMidAirD1,GM1,0.440614,0.331812,0.199168,0.216489,0.428773,0.145770,0.338587,0.354949,0.535925,0.290019,0.028571,0.378108
GestureMidAirD2,GM2,0.366030,0.224342,0.303916,0.164545,0.262493,0.127104,0.230175,0.238624,0.449086,0.172253,0.094689,0.328628
GestureMidAirD3,GM3,0.222800,0.148583,0.050521,0.085753,0.158562,0.105668,0.211582,0.167543,0.346499,0.191417,0.002959,0.226076
GesturePebbleZ1,GP1,0.794208,0.161875,0.149750,0.616153,0.650032,0.206950,0.685921,0.669011,0.802947,0.603122,0.098337,0.587462
GesturePebbleZ2,GP2,0.664035,0.189998,0.431638,0.605578,0.599999,0.229774,0.483431,0.632340,0.748853,0.407081,0.312797,0.440614
GeolifeSupervised,GS,0.307616,,,,0.079598,0.403239,,0.045523,0.223653,,,
AllGestureWiimoteX,GX,0.411930,0.053292,0.065117,0.508875,0.345389,0.074027,0.293915,0.322230,0.573307,0.207506,0.057852,0.296228
AllGestureWiimoteY,GY,0.480099,0.109564,0.072556,0.488073,0.382238,0.158277,0.304071,0.344895,0.552071,0.287976,0.070435,0.287437
AllGestureWiimoteZ,GZ,0.429891,0.106314,0.054007,0.470034,0.323714,0.059160,0.212642,0.289909,0.538834,0.108553,0.034781,0.199981
InsectWingbeat,IW,0.325593,0.493701,0.447062,,0.564484,0.053914,0.010000,0.284312,0.367879,0.075594,0.010000,0.437746
JapaneseVowels,JV,0.567624,0.930051,0.928804,0.923991,0.878133,0.419513,0.886070,0.816083,0.895353,0.919100,0.334901,0.943445
Ldfpa,LPA,0.621861,0.197560,0.134754,0.008264,0.418920,0.321655,0.236601,0.271790,0.012810,0.165496,0.008264,0.187833
Mimic3,MI3,0.181818,0.315152,0.272727,0.272727,0.271429,0.219000,0.234921,0.431313,0.272727,0.335354,0.272727,0.315152
MelbournePedestrian,MP,0.745848,0.854035,0.851004,0.782588,0.920347,0.473926,0.608225,0.823133,0.891227,0.572397,0.303623,0.869626
Physionet2012,P12,0.453647,0.428876,0.515790,0.071124,0.479107,0.438796,0.479545,0.529301,0.431963,0.454653,0.428876,0.475257
Physionet2019,P19,0.613788,0.471435,0.502845,,0.649909,,0.603746,0.581513,0.619470,0.627932,0.028553,0.615061
Pamap2,PAM,0.468750,,,,0.265625,,,0.314771,0.620784,,,
Garment,PGE,0.333333,0.650000,0.650000,0.650000,0.333333,0.447222,0.383333,0.333333,0.333333,0.544444,0.333333,0.330556
PickupGestureWiimoteZ,PGZ,0.317659,0.254480,0.184506,0.477197,0.405635,0.196390,0.344855,0.467659,0.604603,0.521140,0.107778,0.436067
PLAID,PL,0.792568,0.244709,0.125942,0.521942,0.568290,0.188356,0.400750,0.333605,0.759950,0.260949,0.127294,0.308994
SpokenArabicDigits,SAD,0.962662,0.977363,0.977326,0.945942,0.943827,0.595150,0.955489,0.582398,0.953003,0.897305,0.466643,0.979211
Seabirds,SE,0.333333,0.377128,0.393860,0.279798,0.313492,0.238666,0.294558,0.709228,0.689767,0.192593,0.170699,0.164599
ShakeGestureWiimoteZ,SGZ,0.626310,0.261081,0.286688,0.687421,0.526984,0.074161,0.353694,0.623968,0.798016,0.458166,0.120000,0.385268
Taxi,TA,0.292015,0.172254,0.172254,,0.645114,0.225824,0.184907,0.265546,0.412629,0.182362,,0.181442
Vehicles,VE,0.936898,0.411661,0.475477,0.786111,0.879402,0.497939,0.513727,0.826654,0.891317,0.485634,0.290179,0.451479
