dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.005406,0.051835,,,0.020964,0.005815,0.000000,0.000000,0.020541,0.000000,0.005754
Animals,AN,,0.000000,0.026728,,,0.079941,0.033021,0.029318,0.055188,0.031789,0.000000,0.001341
AsphaltObstaclesCoordinates,AOC,,0.000980,0.218996,,,0.007225,0.029392,0.024605,0.011476,0.026089,0.000000,0.033359
AsphaltPavementTypeCoordinates,APT,,0.029496,0.288477,,,0.005990,0.009269,0.041113,0.005892,0.012909,0.000000,0.024087
AsphaltRegularityCoordinates,ARC,,0.005425,0.106564,,,0.004778,0.015032,0.325976,0.009905,0.006534,0.000000,0.005989
CharacterTrajectories,CT,,0.075778,0.356831,,,0.018465,0.007455,0.037464,0.005969,0.086916,0.000000,0.032833
DodgerLoopDay,DD,,0.032345,0.070712,,,0.086513,0.033582,0.040211,0.025638,0.067505,0.000000,0.013390
DodgerLoopGame,DG,,0.087590,0.090778,,,0.034652,0.179995,0.000000,0.000000,0.100498,0.000000,0.026305
DodgerLoopWeekend,DW,,0.038046,0.324779,,,0.176209,0.323163,0.000000,0.000000,0.026256,0.000000,0.032887
GestureMidAirD1,GM1,,0.032467,0.063096,,,0.018635,0.107980,0.009993,0.014753,0.024816,0.000000,0.036594
GestureMidAirD2,GM2,,0.033116,0.063468,,,0.054288,0.117802,0.018427,0.044949,0.182753,0.000000,0.030302
GestureMidAirD3,GM3,,0.008518,0.009561,,,0.004890,0.025751,0.032408,0.023335,0.091472,0.000000,0.019683
GesturePebbleZ1,GP1,,0.039270,0.099986,,,0.015262,0.068324,0.052372,0.030046,0.026709,0.000000,0.064519
GesturePebbleZ2,GP2,,0.030020,0.226264,,,0.006511,0.092287,0.061976,0.073257,0.102896,0.000000,0.028710
GeolifeSupervised,GS,,,,,,0.254472,,0.010738,0.122109,,,
AllGestureWiimoteX,GX,,0.058012,0.026315,,,0.029732,0.066628,0.100037,0.013084,0.064318,0.000000,0.004263
AllGestureWiimoteY,GY,,0.041929,0.040666,,,0.005645,0.028910,0.123441,0.022982,0.084610,0.000000,0.012709
AllGestureWiimoteZ,GZ,,0.060189,0.023144,,,0.021149,0.025199,0.105793,0.010664,0.068834,0.000000,0.012202
InsectWingbeat,IW,,0.010732,0.003109,,,0.010918,0.000000,0.281250,0.003735,0.044564,,0.004928
JapaneseVowels,JV,,0.006392,0.011897,,,0.025972,0.029475,0.145672,0.016725,0.026633,0.000000,0.009238
Ldfpa,LPA,,0.156090,0.096403,,,0.015861,0.080064,0.171612,0.007872,0.042995,0.000000,0.016654
Mimic3,MI3,,0.073481,0.000000,,,0.126872,0.120875,0.176704,0.000000,0.063660,0.000000,0.073481
MelbournePedestrian,MP,,0.000089,0.016660,,,0.019464,0.045246,0.066157,0.002752,0.342030,0.000000,0.009638
Physionet2012,P12,,0.000000,0.016257,,,0.004386,0.014638,0.005052,0.005563,0.004663,0.000000,0.011269
Physionet2019,P19,,0.000018,0.010275,,,,0.007309,0.023859,0.009602,0.001917,,0.010834
Pamap2,PAM,,,,,,,,0.278149,0.114647,,,
Garment,PGE,,0.000000,0.000000,,,0.271356,0.230940,0.000000,0.000000,0.182828,0.000000,0.004811
PickupGestureWiimoteZ,PGZ,,0.017284,0.109984,,,0.021063,0.264780,0.107181,0.011913,0.068806,0.000000,0.056076
PLAID,PL,,0.041566,0.069549,,,0.008058,0.025378,0.024267,0.011315,0.055698,0.000000,0.014468
SpokenArabicDigits,SAD,,0.002071,0.002638,,,0.013053,0.005082,0.410165,0.003706,0.026345,0.000000,0.007103
Seabirds,SE,,0.151423,0.168622,,,0.048578,0.103909,0.054103,0.109802,0.007830,0.000000,0.048359
ShakeGestureWiimoteZ,SGZ,,0.020301,0.061047,,,0.038416,0.047919,0.092896,0.031138,0.075344,0.000000,0.072446
Taxi,TA,,,0.000000,,,0.004990,0.011911,0.038780,0.012618,0.007442,,0.002749
Vehicles,VE,,0.048640,0.008845,,,0.063453,0.012407,0.039245,0.040434,0.018153,0.000000,0.012814
