dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,0.111111,0.328819,0.375053,0.344519,0.111111,0.432274,0.260521,0.111111,0.111111,0.310043,0.321700,0.321822
Animals,AN,0.800505,0.666667,0.725168,0.811966,0.811448,0.432872,0.642649,0.885179,0.902162,0.599995,0.063636,0.626413
AsphaltObstaclesCoordinates,AOC,0.825950,0.307014,0.369786,0.694592,0.712509,0.517142,0.671589,0.690288,0.814264,0.754489,0.014706,0.629419
AsphaltPavementTypeCoordinates,APT,0.910151,0.788370,0.487121,0.699385,0.817802,0.694650,0.771148,0.883599,0.955970,0.838596,0.036874,0.859050
AsphaltRegularityCoordinates,ARC,0.950741,0.989799,0.634633,0.756048,0.949662,0.809717,0.967476,0.875708,0.992461,0.987584,0.104418,0.987603
CharacterTrajectories,CT,0.938583,0.962092,0.648819,0.980285,0.952536,0.873835,0.973250,0.946375,0.977928,0.949213,0.724332,0.955028
DodgerLoopDay,DD,0.514200,0.534039,0.483812,0.497717,0.552273,0.301939,0.496407,0.498609,0.573296,0.453223,0.184207,0.246082
DodgerLoopGame,DG,0.260870,0.733475,0.717827,0.923529,0.260870,0.567752,0.590716,0.260870,0.260870,0.627077,0.850011,0.423432
DodgerLoopWeekend,DW,0.369565,0.919074,0.652732,0.968022,0.369565,0.806238,0.760206,0.369565,0.369565,0.955725,0.955526,0.649751
GestureMidAirD1,GM1,0.599725,0.519877,0.256908,0.458226,0.643995,0.238074,0.490563,0.541571,0.700868,0.441934,0.089744,0.546013
GestureMidAirD2,GM2,0.529579,0.340027,0.403458,0.280150,0.453709,0.206780,0.302476,0.389084,0.616534,0.258660,0.167094,0.496210
GestureMidAirD3,GM3,0.366109,0.250992,0.067656,0.184117,0.267249,0.199697,0.375557,0.267293,0.523790,0.316523,0.004274,0.358835
GesturePebbleZ1,GP1,0.899553,0.272566,0.239710,0.772685,0.815787,0.320211,0.830577,0.821730,0.909365,0.773778,0.346929,0.765691
GesturePebbleZ2,GP2,0.796425,0.321146,0.577508,0.746917,0.753659,0.396842,0.679063,0.776455,0.869569,0.591780,0.519584,0.623415
GeolifeSupervised,GS,0.534601,,,,0.145951,0.589567,,0.125815,0.335590,,,
AllGestureWiimoteX,GX,0.566257,0.143392,0.126222,0.680224,0.515127,0.123535,0.457488,0.485625,0.713287,0.360183,0.202455,0.452977
AllGestureWiimoteY,GY,0.647585,0.232793,0.130822,0.663965,0.563827,0.280236,0.477383,0.500609,0.703878,0.475710,0.313485,0.457656
AllGestureWiimoteZ,GZ,0.579024,0.220731,0.110152,0.639965,0.487938,0.111239,0.374242,0.445540,0.688537,0.211750,0.218297,0.349586
InsectWingbeat,IW,0.483516,0.653428,0.607598,,0.713273,0.116589,0.010000,0.448855,0.530002,0.197546,0.010000,0.598491
JapaneseVowels,JV,0.708779,0.962014,0.961337,0.962717,0.936338,0.575278,0.938504,0.907023,0.943555,0.954132,0.531257,0.968218
Ldfpa,LPA,0.821212,0.290006,0.210888,0.008264,0.560695,0.434095,0.367117,0.320040,0.018582,0.334926,0.008264,0.351647
Mimic3,MI3,0.222222,0.448485,0.272727,0.272727,0.416667,0.329960,0.375926,0.638889,0.272727,0.533502,0.272727,0.448485
MelbournePedestrian,MP,0.850783,0.921273,0.920145,0.881874,0.958012,0.644311,0.781713,0.900506,0.942121,0.711387,0.486088,0.927890
Physionet2012,P12,0.710462,0.428876,0.704800,0.071124,0.699528,0.537730,0.630783,0.749259,0.507864,0.556961,0.428876,0.599927
Physionet2019,P19,0.721857,0.471446,0.666838,,0.802268,,0.759712,0.796892,0.763999,0.740970,0.028553,0.709836
Pamap2,PAM,0.539435,,,,0.313542,,,0.408521,0.652034,,,
Garment,PGE,0.333333,0.900000,0.900000,0.900000,0.333333,0.569444,0.500000,0.333333,0.333333,0.711111,0.333333,0.388889
PickupGestureWiimoteZ,PGZ,0.555833,0.334745,0.320366,0.670000,0.561667,0.347455,0.524008,0.610119,0.767857,0.709921,0.245758,0.633466
PLAID,PL,0.896405,0.618837,0.299653,0.739496,0.778002,0.346569,0.553382,0.613313,0.882059,0.443414,0.208057,0.550079
SpokenArabicDigits,SAD,0.980979,0.988613,0.988592,0.972032,0.971248,0.741854,0.977461,0.694011,0.975973,0.947746,0.718180,0.989599
Seabirds,SE,0.762452,0.520288,0.563777,0.402381,0.408425,0.349463,0.455372,0.868198,0.880869,0.243092,0.240741,0.218180
ShakeGestureWiimoteZ,SGZ,0.767500,0.309573,0.361180,0.762500,0.667222,0.093588,0.488841,0.778095,0.910794,0.614325,0.128571,0.500709
Taxi,TA,0.546446,0.172254,0.172254,,0.795869,0.446600,0.263649,0.519028,0.646343,0.313310,,0.446528
Vehicles,VE,0.982353,0.699539,0.804041,0.900452,0.943932,0.690075,0.729217,0.929757,0.957766,0.727681,0.389153,0.622096
