dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.008261,0.062543,,,0.051425,0.057093,0.000000,0.000000,0.030862,0.000000,0.004282
Animals,AN,,0.000000,0.031371,,,0.140304,0.068724,0.015666,0.030941,0.037703,0.000000,0.028336
AsphaltObstaclesCoordinates,AOC,,0.016785,0.229092,,,0.013571,0.035112,0.020430,0.010521,0.020466,0.000000,0.032343
AsphaltPavementTypeCoordinates,APT,,0.010053,0.342217,,,0.005838,0.006057,0.027228,0.003332,0.009817,0.000000,0.019452
AsphaltRegularityCoordinates,ARC,,0.002720,0.097433,,,0.004345,0.007844,0.111773,0.004986,0.003308,0.000000,0.003041
CharacterTrajectories,CT,,0.042757,0.299556,,,0.014596,0.003659,0.021575,0.002982,0.045019,0.000000,0.017054
DodgerLoopDay,DD,,0.021904,0.071674,,,0.130623,0.088516,0.044070,0.043329,0.061053,0.000000,0.011645
DodgerLoopGame,DG,,0.083792,0.080135,,,0.051202,0.285703,0.000000,0.000000,0.151378,0.000000,0.033559
DodgerLoopWeekend,DW,,0.024661,0.233106,,,0.101770,0.338305,0.000000,0.000000,0.012199,0.000000,0.021780
GestureMidAirD1,GM1,,0.053587,0.081791,,,0.016764,0.115697,0.018912,0.024859,0.018844,0.000000,0.038057
GestureMidAirD2,GM2,,0.033781,0.105617,,,0.091811,0.172211,0.034610,0.057614,0.282573,0.000000,0.027731
GestureMidAirD3,GM3,,0.053828,0.033060,,,0.035015,0.052156,0.060353,0.052406,0.122078,0.000000,0.068107
GesturePebbleZ1,GP1,,0.062304,0.169309,,,0.025509,0.045008,0.043923,0.010745,0.015150,0.000000,0.046568
GesturePebbleZ2,GP2,,0.050666,0.239387,,,0.088551,0.072042,0.059139,0.038354,0.118648,0.000000,0.039951
GeolifeSupervised,GS,,,,,,0.197831,,0.149809,0.150653,,,
AllGestureWiimoteX,GX,,0.060518,0.058100,,,0.067164,0.081062,0.115939,0.005947,0.099540,0.000000,0.005381
AllGestureWiimoteY,GY,,0.083475,0.067716,,,0.003654,0.038543,0.135040,0.020550,0.076926,0.000000,0.016688
AllGestureWiimoteZ,GZ,,0.116149,0.049192,,,0.048155,0.015686,0.128697,0.009608,0.108481,0.000000,0.006496
InsectWingbeat,IW,,0.006564,0.004859,,,0.008321,0.000000,0.270863,0.002664,0.082313,,0.002029
JapaneseVowels,JV,,0.005203,0.007606,,,0.026671,0.018250,0.073919,0.008742,0.014672,0.000000,0.004498
Ldfpa,LPA,,0.202892,0.159565,,,0.047627,0.092547,0.178447,0.017870,0.107513,0.000000,0.032847
Mimic3,MI3,,0.304421,0.000000,,,0.182532,0.175799,0.336788,0.000000,0.263683,0.000000,0.304421
MelbournePedestrian,MP,,0.001485,0.008366,,,0.019736,0.028013,0.041089,0.001580,0.285542,0.000000,0.006036
Physionet2012,P12,,0.000000,0.031650,,,0.013346,0.016679,0.019550,0.093043,0.002648,0.000000,0.024266
Physionet2019,P19,,0.000001,0.009586,,,,0.039202,0.018916,0.013056,0.005024,,0.016978
Pamap2,PAM,,,,,,,,0.367356,0.091908,,,
Garment,PGE,,0.000000,0.000000,,,0.295608,0.346410,0.000000,0.000000,0.327165,0.000000,0.096225
PickupGestureWiimoteZ,PGZ,,0.035575,0.090286,,,0.051150,0.342699,0.150867,0.026993,0.073597,0.000000,0.065953
PLAID,PL,,0.080497,0.160054,,,0.052322,0.017525,0.036166,0.001695,0.017487,0.000000,0.047600
SpokenArabicDigits,SAD,,0.000855,0.001388,,,0.012017,0.002389,0.351420,0.002057,0.013158,0.000000,0.003581
Seabirds,SE,,0.159358,0.262314,,,0.176516,0.234985,0.033930,0.032830,0.036748,0.000000,0.056683
ShakeGestureWiimoteZ,SGZ,,0.067554,0.121708,,,0.061321,0.019476,0.062804,0.016291,0.138580,0.000000,0.094966
Taxi,TA,,,0.000000,,,0.008119,0.079392,0.034617,0.008586,0.005819,,0.173367
Vehicles,VE,,0.297067,0.065461,,,0.029349,0.024361,0.018357,0.022824,0.081612,0.000000,0.033995
