dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,10.781,22.406,6.526,10.405,0.601,20.003,5.838,4.646,0.361,6.075,17.505,10.755
Animals,AN,2.354,1.880,0.535,7.953,0.043,2.035,0.408,0.444,0.035,0.469,2.689,0.579
AsphaltObstaclesCoordinates,AOC,86.649,57.387,16.425,1314.781,0.599,1.485,12.194,8.842,0.429,27.847,598.015,18.924
AsphaltPavementTypeCoordinates,APT,287.375,486.502,141.204,32443.849,3.664,2.229,146.977,30.704,2.783,472.284,7160.281,162.282
AsphaltRegularityCoordinates,ARC,205.221,621.134,187.882,26729.195,7.390,2.353,450.471,25.101,3.455,981.916,3944.457,159.574
CharacterTrajectories,CT,84.816,50.432,14.773,2561.846,1.657,1.777,12.676,28.078,1.077,15.594,1455.222,18.300
DodgerLoopDay,DD,5.105,4.995,1.446,4.223,0.049,2.225,1.077,0.526,0.056,1.816,10.065,1.981
DodgerLoopGame,DG,5.582,8.458,2.354,3.023,0.069,2.473,1.762,0.894,0.084,2.650,4.923,2.869
DodgerLoopWeekend,DW,5.701,8.423,2.330,3.026,0.069,0.149,1.875,0.895,0.076,2.861,4.864,2.860
GestureMidAirD1,GM1,2.429,10.304,2.929,94.346,0.070,2.689,2.061,0.819,0.093,3.208,38.967,3.371
GestureMidAirD2,GM2,2.852,10.265,2.805,93.460,0.087,0.217,2.158,0.817,0.093,3.786,38.968,2.652
GestureMidAirD3,GM3,3.039,10.356,2.944,92.046,0.080,0.164,2.041,0.859,0.095,3.263,39.135,3.163
GesturePebbleZ1,GP1,7.451,16.096,4.545,81.132,0.089,2.313,3.329,1.278,0.109,5.620,51.604,5.103
GesturePebbleZ2,GP2,7.196,13.942,4.026,78.175,0.085,2.655,3.092,1.180,0.099,5.351,51.805,5.111
GeolifeSupervised,GS,999.970,,,,124.043,3.382,,184.554,308.953,,,
AllGestureWiimoteX,GX,28.941,51.937,15.758,941.047,0.518,0.245,11.534,4.266,0.492,15.115,214.365,20.167
AllGestureWiimoteY,GY,24.606,51.936,14.973,937.396,0.307,0.797,11.670,4.246,0.386,15.467,214.706,20.908
AllGestureWiimoteZ,GZ,29.174,52.201,15.002,878.124,0.305,2.454,11.646,4.252,0.386,16.828,213.056,20.781
InsectWingbeat,IW,10333.503,111.316,36.057,,1822.986,21.901,69.752,18688.800,42.635,31.864,140299.130,57.058
JapaneseVowels,JV,6.772,2.132,0.647,48.258,1.515,2.165,1.009,17.880,0.159,0.666,22.656,1.724
Ldfpa,LPA,46.932,33.769,9.531,438.905,0.910,2.279,18.267,6.210,0.647,34.790,26.888,7.314
Mimic3,MI3,0.899,0.662,0.163,2.512,0.095,1.957,0.086,1.138,0.021,0.141,0.989,0.189
MelbournePedestrian,MP,10.237,11.278,3.692,815.932,1.018,2.591,5.922,10.326,0.993,2.965,636.802,7.295
Physionet2012,P12,1814.881,156.186,47.042,40216.240,60.138,3.519,87.531,896.735,9.033,45.566,2878.770,78.310
Physionet2019,P19,10011.516,1289.357,386.033,,305.608,,1563.717,4268.259,92.169,422.783,71369.791,465.939
Pamap2,PAM,2871.677,,,,73.056,,,116.065,140.722,,,
Garment,PGE,0.183,0.305,0.049,1.797,0.047,0.428,0.030,0.376,0.012,0.038,0.151,0.087
PickupGestureWiimoteZ,PGZ,1.278,4.076,1.098,11.034,0.048,2.151,0.777,0.334,0.046,1.076,3.325,1.608
PLAID,PL,30.126,142.012,40.353,4008.321,0.363,1.761,33.839,4.313,0.505,98.989,1330.615,35.994
SpokenArabicDigits,SAD,1022.556,39.699,11.613,17301.710,10.718,2.408,11.662,144.733,1.615,10.469,4253.843,17.955
Seabirds,SE,31.913,60.637,14.590,159.134,0.260,2.569,40.572,1.611,0.328,86.868,607.562,9.320
ShakeGestureWiimoteZ,SGZ,1.543,4.350,1.166,11.618,0.036,1.527,0.835,0.319,0.049,1.185,4.011,1.949
Taxi,TA,2865.780,825.254,271.304,,32.808,4.192,229.818,364.176,20.135,214.888,,265.447
Vehicles,VE,21.049,27.067,7.310,358.901,0.160,2.381,5.254,1.801,0.138,14.025,287.363,8.023
