dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.002,0.013,,,34.977,0.023,0.012,0.002,0.262,0.376,1.081
Animals,AN,,0.158,0.048,,,1.687,0.004,0.035,0.001,0.026,0.008,0.159
AsphaltObstaclesCoordinates,AOC,,0.216,0.097,,,1.276,0.067,0.324,0.006,8.887,9.564,2.208
AsphaltPavementTypeCoordinates,APT,,4.270,0.340,,,1.100,76.814,2.421,0.110,28.381,119.965,23.416
AsphaltRegularityCoordinates,ARC,,1.391,14.960,,,1.078,46.195,1.737,0.129,28.184,47.507,28.957
CharacterTrajectories,CT,,0.318,0.029,,,1.301,0.205,0.664,0.274,2.748,0.421,2.297
DodgerLoopDay,DD,,0.042,0.116,,,1.857,0.088,0.003,0.007,0.603,0.048,0.410
DodgerLoopGame,DG,,0.025,0.036,,,2.110,0.027,0.005,0.002,0.363,0.009,0.671
DodgerLoopWeekend,DW,,0.025,0.007,,,0.055,0.150,0.005,0.004,0.438,0.028,0.618
GestureMidAirD1,GM1,,0.053,0.253,,,2.314,0.049,0.013,0.002,0.465,0.029,0.331
GestureMidAirD2,GM2,,0.054,0.010,,,0.077,0.162,0.016,0.001,0.804,0.122,0.488
GestureMidAirD3,GM3,,0.047,0.254,,,0.057,0.019,0.064,0.004,0.937,0.192,0.093
GesturePebbleZ1,GP1,,0.066,0.024,,,1.848,0.007,0.044,0.004,0.702,0.483,1.602
GesturePebbleZ2,GP2,,0.074,0.008,,,2.104,0.052,0.024,0.001,0.223,0.560,0.903
GeolifeSupervised,GS,,,,,,0.688,,2.865,11.906,,,
AllGestureWiimoteX,GX,,0.150,1.256,,,0.092,0.009,0.062,0.184,1.313,1.108,3.321
AllGestureWiimoteY,GY,,0.333,0.085,,,0.993,0.069,0.093,0.011,1.162,1.403,7.811
AllGestureWiimoteZ,GZ,,0.339,0.037,,,2.047,0.069,0.070,0.004,1.975,0.729,2.893
InsectWingbeat,IW,,0.450,0.188,,,1.608,4.498,342.920,0.901,1.308,,10.515
JapaneseVowels,JV,,0.013,0.005,,,1.808,0.018,0.621,0.005,0.178,0.526,0.158
Ldfpa,LPA,,0.210,0.053,,,1.768,19.632,0.239,0.035,3.009,0.479,1.114
Mimic3,MI3,,0.018,0.033,,,1.607,0.001,0.038,0.001,0.052,0.012,0.013
MelbournePedestrian,MP,,0.040,0.179,,,2.168,0.030,0.925,0.003,0.332,12.789,1.575
Physionet2012,P12,,0.185,0.295,,,0.822,81.655,14.943,0.380,9.830,15.958,10.703
Physionet2019,P19,,9.678,1.375,,,,3.568,419.730,0.435,49.039,,87.106
Pamap2,PAM,,,,,,,,8.763,1.752,,,
Garment,PGE,,0.086,0.001,,,0.180,0.002,0.004,0.000,0.015,0.006,0.013
PickupGestureWiimoteZ,PGZ,,0.028,0.010,,,1.847,0.005,0.018,0.001,0.118,0.014,0.617
PLAID,PL,,0.416,0.311,,,1.427,8.017,0.053,0.017,12.839,4.705,11.591
SpokenArabicDigits,SAD,,0.103,0.041,,,2.515,0.044,6.687,0.210,0.727,365.907,2.679
Seabirds,SE,,0.485,0.054,,,1.981,1.763,0.040,0.021,5.957,13.561,2.547
ShakeGestureWiimoteZ,SGZ,,0.006,0.007,,,1.233,0.002,0.010,0.003,0.149,0.032,0.311
Taxi,TA,,,22.837,,,1.793,1.333,5.502,1.338,3.757,,60.608
Vehicles,VE,,2.077,0.027,,,1.952,0.046,0.117,0.002,0.687,2.921,0.516
