dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,0.333333,0.329444,0.340370,0.338889,0.333333,0.480000,0.339630,0.333333,0.333333,0.312593,0.322222,0.320741
Animals,AN,0.800000,0.685185,0.701235,0.814815,0.814815,0.451852,0.649383,0.882099,0.901235,0.579012,0.094444,0.605556
AsphaltObstaclesCoordinates,AOC,0.818132,0.303550,0.399999,0.629451,0.702948,0.509705,0.669060,0.686401,0.799544,0.754771,0.033784,0.621779
AsphaltPavementTypeCoordinates,APT,0.913037,0.782231,0.546971,0.425742,0.799813,0.692609,0.763739,0.881663,0.957538,0.841643,0.058155,0.856314
AsphaltRegularityCoordinates,ARC,0.950702,0.989887,0.633242,0.509459,0.949624,0.807746,0.967356,0.801624,0.992537,0.987674,0.104845,0.987700
CharacterTrajectories,CT,0.937215,0.960444,0.655317,0.979266,0.949592,0.869952,0.971836,0.944140,0.977068,0.945341,0.676773,0.952209
DodgerLoopDay,DD,0.506843,0.524659,0.442779,0.443523,0.513503,0.310312,0.470851,0.484282,0.551676,0.423304,0.350733,0.205861
DodgerLoopGame,DG,0.500000,0.720749,0.712753,0.901515,0.500000,0.545034,0.652567,0.500000,0.500000,0.585648,0.845960,0.426136
DodgerLoopWeekend,DW,0.500000,0.944444,0.667484,0.976307,0.500000,0.857843,0.814270,0.500000,0.500000,0.963780,0.971405,0.662854
GestureMidAirD1,GM1,0.584615,0.474359,0.297436,0.338462,0.569231,0.271795,0.484615,0.494872,0.664103,0.446154,0.030769,0.515385
GestureMidAirD2,GM2,0.515385,0.346154,0.433333,0.276923,0.400000,0.243590,0.358974,0.376923,0.594872,0.258974,0.123077,0.469231
GestureMidAirD3,GM3,0.353846,0.251282,0.087179,0.176923,0.276923,0.200000,0.328205,0.287179,0.484615,0.287179,0.007692,0.348718
GesturePebbleZ1,GP1,0.882223,0.274271,0.294991,0.750442,0.787228,0.358649,0.807458,0.798662,0.889632,0.745476,0.242785,0.731462
GesturePebbleZ2,GP2,0.791151,0.315276,0.570539,0.735286,0.730378,0.381564,0.645513,0.766376,0.855975,0.560468,0.465616,0.584819
GeolifeSupervised,GS,0.444617,,,,0.146546,0.547806,,0.096950,0.327362,,,
AllGestureWiimoteX,GX,0.551429,0.165714,0.169524,0.648571,0.497143,0.165714,0.440476,0.464762,0.700476,0.347143,0.138571,0.443333
AllGestureWiimoteY,GY,0.640000,0.228571,0.175238,0.644286,0.550000,0.290476,0.461905,0.494762,0.705238,0.443810,0.125714,0.439524
AllGestureWiimoteZ,GZ,0.585714,0.220952,0.150952,0.615714,0.474286,0.142857,0.342381,0.440000,0.686667,0.206667,0.110000,0.328095
InsectWingbeat,IW,0.485120,0.653080,0.608080,,0.713000,0.123280,0.100000,0.408413,0.531920,0.187813,0.100000,0.599400
JapaneseVowels,JV,0.717364,0.965662,0.964366,0.960246,0.931089,0.585568,0.939876,0.882548,0.945817,0.961171,0.449097,0.973570
Ldfpa,LPA,0.745455,0.321212,0.278788,0.090909,0.563636,0.496970,0.369697,0.400000,0.096970,0.284848,0.090909,0.321212
Mimic3,MI3,0.333333,0.533333,0.500000,0.500000,0.433333,0.350000,0.377778,0.605556,0.500000,0.538889,0.500000,0.533333
MelbournePedestrian,MP,0.849634,0.919854,0.918840,0.876899,0.957849,0.637660,0.747454,0.898967,0.941859,0.694037,0.473712,0.927130
Physionet2012,P12,0.522171,0.500000,0.588251,0.500000,0.547283,0.508572,0.552662,0.598943,0.502312,0.552179,0.500000,0.552758
Physionet2019,P19,0.696289,0.499987,0.533269,,0.708863,,0.658522,0.618026,0.681037,0.709313,0.500000,0.711991
Pamap2,PAM,0.552083,,,,0.381250,,,0.391667,0.690972,,,
Garment,PGE,0.500000,0.750000,0.750000,0.750000,0.500000,0.583333,0.500000,0.500000,0.500000,0.666667,0.500000,0.500000
PickupGestureWiimoteZ,PGZ,0.460000,0.393333,0.293333,0.620000,0.540000,0.353333,0.480000,0.613333,0.740000,0.646667,0.140000,0.573333
PLAID,PL,0.858017,0.335428,0.211836,0.643116,0.692626,0.304879,0.532476,0.441973,0.842529,0.394105,0.217407,0.439410
SpokenArabicDigits,SAD,0.980901,0.988409,0.988485,0.971359,0.970905,0.739296,0.977112,0.667972,0.975599,0.945281,0.607943,0.989392
Seabirds,SE,0.456530,0.498506,0.538791,0.409357,0.446394,0.369201,0.422612,0.800650,0.771930,0.300195,0.284600,0.269136
ShakeGestureWiimoteZ,SGZ,0.760000,0.440000,0.453333,0.800000,0.660000,0.206667,0.493333,0.746667,0.880000,0.593333,0.140000,0.546667
Taxi,TA,0.434215,0.333333,0.333333,,0.771433,0.370691,0.340778,0.410159,0.557774,0.339203,,0.338665
Vehicles,VE,0.954545,0.545455,0.597931,0.860495,0.927199,0.627002,0.637164,0.883777,0.928246,0.619919,0.405211,0.589431
