dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.005500,0.018504,,,0.024961,0.008486,0.000000,0.000000,0.029945,0.000000,0.004491
Animals,AN,,0.000000,0.019006,,,0.069191,0.029994,0.022402,0.037421,0.034760,0.000000,0.004900
AsphaltObstaclesCoordinates,AOC,,0.004221,0.217607,,,0.012402,0.027741,0.021660,0.007746,0.020855,0.000000,0.030968
AsphaltPavementTypeCoordinates,APT,,0.020524,0.247597,,,0.003901,0.009511,0.027992,0.003542,0.011727,0.000000,0.015851
AsphaltRegularityCoordinates,ARC,,0.002726,0.095676,,,0.003385,0.007976,0.220619,0.004982,0.003318,0.000000,0.003053
CharacterTrajectories,CT,,0.044354,0.287454,,,0.013628,0.004082,0.022423,0.003309,0.049618,0.000000,0.019919
DodgerLoopDay,DD,,0.024028,0.069622,,,0.098263,0.025915,0.037716,0.030421,0.065040,0.000000,0.014214
DodgerLoopGame,DG,,0.073505,0.072962,,,0.028320,0.132173,0.000000,0.000000,0.108909,0.000000,0.033780
DodgerLoopWeekend,DW,,0.019108,0.250768,,,0.086567,0.272166,0.000000,0.000000,0.017624,0.000000,0.035559
GestureMidAirD1,GM1,,0.031088,0.069373,,,0.029123,0.103489,0.017765,0.016013,0.013323,0.000000,0.040704
GestureMidAirD2,GM2,,0.042829,0.049455,,,0.066321,0.135072,0.035251,0.039474,0.231452,0.000000,0.027735
GestureMidAirD3,GM3,,0.017765,0.011750,,,0.007692,0.027014,0.047001,0.026647,0.132418,0.000000,0.022206
GesturePebbleZ1,GP1,,0.056411,0.088302,,,0.017790,0.049820,0.036763,0.019930,0.019093,0.000000,0.052894
GesturePebbleZ2,GP2,,0.041977,0.239654,,,0.009739,0.078091,0.051558,0.044111,0.101478,0.000000,0.035472
GeolifeSupervised,GS,,,,,,0.253670,,0.010462,0.138342,,,
AllGestureWiimoteX,GX,,0.093416,0.037643,,,0.031004,0.067315,0.113788,0.005408,0.077183,0.000000,0.002974
AllGestureWiimoteY,GY,,0.062155,0.053191,,,0.000825,0.027640,0.134713,0.019024,0.087205,0.000000,0.017043
AllGestureWiimoteZ,GZ,,0.079467,0.022961,,,0.039149,0.038660,0.129709,0.009512,0.104835,0.000000,0.015671
InsectWingbeat,IW,,0.008241,0.002252,,,0.006303,0.000000,0.307564,0.004525,0.061056,,0.005103
JapaneseVowels,JV,,0.002180,0.006698,,,0.026477,0.017002,0.109411,0.009318,0.014555,0.000000,0.006149
Ldfpa,LPA,,0.174710,0.121061,,,0.020995,0.093302,0.166639,0.010497,0.055546,0.000000,0.037848
Mimic3,MI3,,0.057735,0.000000,,,0.158990,0.173472,0.163583,0.000000,0.053576,0.000000,0.057735
MelbournePedestrian,MP,,0.000934,0.009608,,,0.020883,0.040994,0.041796,0.001712,0.291182,0.000000,0.006035
Physionet2012,P12,,0.000000,0.016742,,,0.004788,0.017436,0.007571,0.005034,0.014121,0.000000,0.011098
Physionet2019,P19,,0.000019,0.011842,,,,0.008085,0.026600,0.020918,0.007800,,0.006083
Pamap2,PAM,,,,,,,,0.295305,0.106400,,,
Garment,PGE,,0.000000,0.000000,,,0.314576,0.216506,0.000000,0.000000,0.144338,0.000000,0.000000
PickupGestureWiimoteZ,PGZ,,0.030551,0.130128,,,0.011547,0.295973,0.090185,0.000000,0.064291,0.000000,0.064291
PLAID,PL,,0.036780,0.073596,,,0.011093,0.031968,0.022959,0.013576,0.070007,0.000000,0.009712
SpokenArabicDigits,SAD,,0.000964,0.001389,,,0.012270,0.002670,0.388430,0.002056,0.014880,0.000000,0.003647
Seabirds,SE,,0.139493,0.185188,,,0.044855,0.089869,0.037365,0.092324,0.016655,0.000000,0.077214
ShakeGestureWiimoteZ,SGZ,,0.028284,0.075719,,,0.030551,0.030551,0.080829,0.020000,0.098658,0.000000,0.064291
Taxi,TA,,,0.000000,,,0.004369,0.006924,0.035986,0.012810,0.004332,,0.001394
Vehicles,VE,,0.040087,0.007041,,,0.065518,0.017389,0.028169,0.022979,0.037318,0.000000,0.012473
