dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,0.500000,0.494071,0.510914,0.506484,0.500000,0.697973,0.498448,0.500000,0.500000,0.480191,0.491667,0.484331
Animals,AN,0.912279,0.752160,0.747950,0.916166,0.920034,0.654559,0.802791,0.966214,0.968945,0.763767,0.316646,0.806688
AsphaltObstaclesCoordinates,AOC,0.953437,0.565452,0.723351,0.865875,0.874375,0.808185,0.861390,0.895388,0.954682,0.928962,0.355087,0.850176
AsphaltPavementTypeCoordinates,APT,0.982837,0.907279,0.708147,0.674577,0.938188,0.866604,0.917327,0.971877,0.994693,0.955926,0.291540,0.962873
AsphaltRegularityCoordinates,ARC,0.992232,0.998446,0.689932,0.567568,0.983684,0.869490,0.996407,0.811763,0.999792,0.997854,0.104845,0.999622
CharacterTrajectories,CT,0.998107,0.996393,0.943723,0.998426,0.998292,0.992711,0.997828,0.998124,0.999605,0.997704,0.830189,0.998261
DodgerLoopDay,DD,0.832026,0.847091,0.768601,0.798850,0.880545,0.718867,0.844469,0.810685,0.837245,0.778397,0.622751,0.585806
DodgerLoopGame,DG,0.500000,0.724046,0.768378,0.942551,0.500000,0.580036,0.691919,0.500000,0.500000,0.673401,0.845960,0.424663
DodgerLoopWeekend,DW,0.500000,0.972585,0.691176,0.986383,0.500000,0.933960,0.822213,0.500000,0.500000,0.970770,0.971405,0.736202
GestureMidAirD1,GM1,0.925231,0.927774,0.870564,0.767108,0.926954,0.845046,0.914154,0.905210,0.948431,0.875344,0.496000,0.939918
GestureMidAirD2,GM2,0.920677,0.913518,0.954585,0.803508,0.893231,0.844451,0.926277,0.870379,0.941744,0.680410,0.544000,0.898215
GestureMidAirD3,GM3,0.870954,0.871631,0.587733,0.684338,0.841292,0.770790,0.881579,0.811590,0.910708,0.868308,0.484000,0.864923
GesturePebbleZ1,GP1,0.986893,0.692920,0.732189,0.966058,0.956744,0.722080,0.917940,0.966684,0.980731,0.923464,0.545517,0.924132
GesturePebbleZ2,GP2,0.973687,0.735063,0.863924,0.940783,0.938485,0.739715,0.894334,0.953453,0.973282,0.878437,0.679982,0.876083
GeolifeSupervised,GS,0.847517,,,,0.532432,0.781368,,0.505313,0.691176,,,
AllGestureWiimoteX,GX,0.887340,0.627881,0.598623,0.903582,0.848583,0.633701,0.812241,0.847806,0.937398,0.816990,0.521429,0.823029
AllGestureWiimoteY,GY,0.918544,0.701486,0.635367,0.920680,0.884027,0.751926,0.827741,0.847289,0.945473,0.843490,0.514286,0.813362
AllGestureWiimoteZ,GZ,0.914982,0.759378,0.605983,0.901649,0.847814,0.576173,0.797918,0.829595,0.945824,0.706627,0.505556,0.756895
InsectWingbeat,IW,0.867692,0.946037,0.922425,,0.964010,0.544082,0.500000,0.763483,0.901543,0.654454,0.500000,0.927423
JapaneseVowels,JV,0.946815,0.998464,0.996883,0.991669,0.995632,0.897230,0.997187,0.986986,0.997799,0.997258,0.690852,0.999487
Ldfpa,LPA,0.968364,0.796000,0.850303,0.500000,0.882182,0.866909,0.798061,0.773818,0.510788,0.812788,0.500000,0.827879
Mimic3,MI3,0.333333,0.477778,0.411111,0.500000,0.466667,0.355556,0.266667,0.755556,0.550000,0.588889,0.500000,0.455556
MelbournePedestrian,MP,0.985753,0.994851,0.994233,0.979278,0.998110,0.904286,0.972956,0.992562,0.997173,0.951802,0.707610,0.993958
Physionet2012,P12,0.744572,0.644481,0.777806,0.500000,0.783803,0.538217,0.648147,0.826775,0.534147,0.607599,0.500000,0.644872
Physionet2019,P19,0.805831,0.654947,0.649831,,0.851819,,0.847405,0.739769,0.772504,0.799435,0.500000,0.793743
Pamap2,PAM,0.891753,,,,0.773275,,,0.759000,0.978637,,,
Garment,PGE,0.500000,0.500000,0.958333,0.875000,0.500000,0.625000,0.500000,0.500000,0.500000,0.583333,0.500000,0.375000
PickupGestureWiimoteZ,PGZ,0.890667,0.857333,0.784889,0.914222,0.873778,0.696296,0.785630,0.917778,0.964593,0.910519,0.522222,0.905185
PLAID,PL,0.983556,0.806143,0.716203,0.928286,0.961049,0.788711,0.875582,0.835111,0.986228,0.788761,0.573804,0.864265
SpokenArabicDigits,SAD,0.999495,0.999862,0.999834,0.993809,0.999654,0.955709,0.999259,0.873717,0.999611,0.998191,0.782193,0.999890
Seabirds,SE,0.717128,0.711054,0.757423,0.588532,0.641794,0.637570,0.577234,0.965086,0.968474,0.479825,0.450832,0.532442
ShakeGestureWiimoteZ,SGZ,0.974222,0.844222,0.872593,0.959111,0.940889,0.606815,0.824148,0.952741,0.992148,0.925481,0.522222,0.916963
Taxi,TA,0.683507,0.540836,0.540072,,0.911353,0.613300,0.540378,0.640488,0.785567,0.539967,,0.537981
Vehicles,VE,0.995935,0.761764,0.776300,0.949926,0.988914,0.754989,0.742055,0.950604,0.977088,0.639628,0.405211,0.659768
