dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,0.008945,0.009545,,,0.018369,0.005075,0.000000,0.000000,0.025219,0.000000,0.003920
Animals,AN,,0.039802,0.021827,,,0.032940,0.049757,0.006552,0.015883,0.011812,0.000000,0.041763
AsphaltObstaclesCoordinates,AOC,,0.001928,0.155711,,,0.014097,0.018747,0.031996,0.001124,0.011487,0.000000,0.006779
AsphaltPavementTypeCoordinates,APT,,0.007923,0.219319,,,0.005751,0.002694,0.010778,0.000233,0.002961,0.000000,0.004942
AsphaltRegularityCoordinates,ARC,,0.001420,0.102381,,,0.002466,0.001304,0.230229,0.000128,0.000924,0.000000,0.000102
CharacterTrajectories,CT,,0.005478,0.059694,,,0.000867,0.000734,0.001100,0.000028,0.002127,0.000000,0.001323
DodgerLoopDay,DD,,0.017444,0.037102,,,0.045045,0.018437,0.032471,0.008018,0.036222,0.000000,0.017996
DodgerLoopGame,DG,,0.046876,0.057477,,,0.071101,0.166207,0.000000,0.000000,0.202143,0.000000,0.048918
DodgerLoopWeekend,DW,,0.011030,0.245454,,,0.028619,0.279114,0.000000,0.000000,0.005212,0.000000,0.065007
GestureMidAirD1,GM1,,0.008495,0.037752,,,0.013730,0.039378,0.009119,0.007125,0.002372,0.000000,0.003049
GestureMidAirD2,GM2,,0.027435,0.005652,,,0.006656,0.022620,0.014109,0.004305,0.399469,0.000000,0.016336
GestureMidAirD3,GM3,,0.010271,0.129303,,,0.009144,0.016314,0.013187,0.003079,0.043091,0.000000,0.004194
GesturePebbleZ1,GP1,,0.048239,0.031397,,,0.009766,0.032302,0.007373,0.010668,0.003850,0.000000,0.011892
GesturePebbleZ2,GP2,,0.024492,0.132156,,,0.007464,0.038245,0.026179,0.009559,0.042473,0.000000,0.012783
GeolifeSupervised,GS,,,,,,0.242086,,0.009203,0.133799,,,
AllGestureWiimoteX,GX,,0.119708,0.037445,,,0.019966,0.025674,0.076677,0.003225,0.037733,0.000000,0.004647
AllGestureWiimoteY,GY,,0.071646,0.066698,,,0.019524,0.016253,0.080105,0.001224,0.040582,0.000000,0.007859
AllGestureWiimoteZ,GZ,,0.043232,0.051172,,,0.057713,0.023110,0.075993,0.001486,0.047958,0.000000,0.019032
InsectWingbeat,IW,,0.001056,0.002494,,,0.008896,0.000000,0.222589,0.000758,0.094728,,0.002906
JapaneseVowels,JV,,0.000610,0.000928,,,0.012830,0.001455,0.018339,0.000403,0.000744,0.000000,0.000090
Ldfpa,LPA,,0.105273,0.073841,,,0.020079,0.055643,0.118525,0.018685,0.052599,0.000000,0.054874
Mimic3,MI3,,0.216880,0.050918,,,0.069389,0.185592,0.138778,0.028868,0.153960,0.000000,0.157527
MelbournePedestrian,MP,,0.000424,0.000903,,,0.010058,0.010850,0.004336,0.000270,0.061361,0.000000,0.000721
Physionet2012,P12,,0.075831,0.024012,,,0.012440,0.048932,0.014236,0.021296,0.004726,0.000000,0.009428
Physionet2019,P19,,0.134200,0.014894,,,,0.014285,0.105243,0.001459,0.003691,,0.004385
Pamap2,PAM,,,,,,,,0.232237,0.002348,,,
Garment,PGE,,0.000000,0.072169,,,0.125000,0.250000,0.000000,0.000000,0.190941,0.000000,0.125000
PickupGestureWiimoteZ,PGZ,,0.011392,0.066974,,,0.009751,0.163793,0.040561,0.004130,0.037545,0.000000,0.032782
PLAID,PL,,0.015825,0.037864,,,0.006844,0.005803,0.007594,0.001352,0.009698,0.000000,0.007104
SpokenArabicDigits,SAD,,0.000051,0.000024,,,0.003124,0.000503,0.203491,0.000042,0.001003,0.000000,0.000046
Seabirds,SE,,0.113962,0.106188,,,0.053463,0.114083,0.012198,0.012325,0.035437,0.000000,0.042861
ShakeGestureWiimoteZ,SGZ,,0.032370,0.023027,,,0.073409,0.041346,0.021574,0.006034,0.028466,0.000000,0.004621
Taxi,TA,,,0.001168,,,0.000209,0.000300,0.061702,0.009306,0.000477,,0.001503
Vehicles,VE,,0.000769,0.023807,,,0.032913,0.008230,0.012936,0.008524,0.061847,0.000000,0.045666
