dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,16.184,229.707,32.965,10.410,1.572,1290.365,15.991,5.183,0.511,75.999,19.876,64.576
Animals,AN,17.748,5951.713,121.306,8.125,11.988,93.208,23.412,2.053,1.183,343.750,10.711,203.088
AsphaltObstaclesCoordinates,AOC,294.656,5571.885,1273.855,1317.992,139.040,92.182,93.770,20.879,23.217,5763.578,1196.000,2600.543
AsphaltPavementTypeCoordinates,APT,1000.308,47500.867,9416.449,32482.332,301.860,180.035,13013.812,78.032,38.021,113431.766,14177.967,21283.183
AsphaltRegularityCoordinates,ARC,679.280,246725.369,16236.030,26775.080,144.088,175.308,88375.845,67.530,52.437,248252.627,8021.343,18774.773
CharacterTrajectories,CT,299.745,18061.247,1542.102,2563.405,613.190,242.586,472.120,71.613,190.733,3516.269,2898.125,1988.974
DodgerLoopDay,DD,20.444,1989.364,89.634,4.237,32.221,110.631,38.856,1.534,7.362,404.399,21.635,232.099
DodgerLoopGame,DG,11.892,1062.694,40.730,3.028,0.888,111.139,18.919,1.425,0.256,173.590,7.335,63.626
DodgerLoopWeekend,DW,12.136,1526.424,66.881,3.030,0.782,243.469,39.878,1.498,0.243,223.431,7.265,309.961
GestureMidAirD1,GM1,18.161,10399.997,477.312,94.995,346.408,157.906,76.008,3.630,25.007,1155.987,102.408,585.939
GestureMidAirD2,GM2,20.489,15746.235,465.610,94.128,364.132,187.790,155.646,3.555,26.302,1528.319,102.536,1078.077
GestureMidAirD3,GM3,21.563,7441.683,467.212,92.704,439.584,136.337,79.720,3.784,28.426,1228.407,103.332,633.589
GesturePebbleZ1,GP1,25.253,6802.218,337.603,81.607,61.189,90.846,55.696,3.002,5.058,1450.038,96.988,575.311
GesturePebbleZ2,GP2,26.769,6578.568,998.161,78.736,71.431,89.523,50.198,3.024,5.244,1252.919,105.005,797.132
GeolifeSupervised,GS,5717.744,,,,1358.378,4814.593,,1825.816,26009.898,,,
AllGestureWiimoteX,GX,61.666,4845.523,429.586,942.322,373.149,51.517,84.880,7.359,16.589,2014.911,307.235,1201.682
AllGestureWiimoteY,GY,54.342,5313.509,612.366,938.646,373.850,59.077,78.292,7.295,17.008,2519.489,311.059,1151.149
AllGestureWiimoteZ,GZ,63.022,6439.238,533.258,879.406,229.948,87.124,96.652,7.287,17.442,2863.805,306.033,1194.398
InsectWingbeat,IW,31586.955,7066.798,1459.741,,4532.717,38766.532,5936.502,39774.730,118.223,5257.199,279477.056,5824.653
JapaneseVowels,JV,22.886,288.740,51.279,48.348,133.147,91.741,89.148,35.292,6.247,196.829,40.909,337.322
Ldfpa,LPA,410.724,31534.359,3853.823,446.999,278.016,186.007,10318.411,45.922,27.032,39939.460,98.767,35633.835
Mimic3,MI3,12.327,1421.434,41.081,2.566,3.299,75.598,13.964,6.476,0.414,113.097,3.582,80.527
MelbournePedestrian,MP,26.305,6229.837,121.598,816.076,305.794,204.539,549.800,17.955,142.411,1170.844,949.894,488.896
Physionet2012,P12,5454.588,72508.024,4181.835,40226.330,238.618,1204.222,7582.144,1906.994,21.764,9443.960,5763.861,7817.220
Physionet2019,P19,30858.131,244446.612,45314.957,,750.868,,294467.536,9243.234,206.495,116970.935,144162.773,51342.577
Pamap2,PAM,77646.850,,,,4003.598,,,1178.954,22963.385,,,
Garment,PGE,5.654,784.356,50.451,1.803,0.790,196.714,9.479,1.949,0.242,38.640,2.208,20.627
PickupGestureWiimoteZ,PGZ,8.490,2181.697,245.094,11.209,0.995,109.525,30.137,1.184,1.459,365.329,8.454,197.233
PLAID,PL,107.882,56920.070,4614.964,4017.047,452.050,105.543,5162.131,10.689,40.492,26156.184,2665.692,7031.088
SpokenArabicDigits,SAD,8487.177,33020.964,1828.521,17309.145,81.667,930.153,1966.081,674.781,103.419,6956.333,17106.372,6990.736
Seabirds,SE,203.509,80100.953,1893.348,164.088,17.253,123.428,20917.510,9.117,39.006,59800.443,2018.591,3122.161
ShakeGestureWiimoteZ,SGZ,9.472,1821.355,266.656,11.796,28.316,115.010,25.083,1.048,1.714,325.234,9.784,239.207
Taxi,TA,16825.261,861474.849,46780.692,,351.743,10591.535,20575.851,1304.839,349.627,197788.222,,92470.113
Vehicles,VE,126.783,76064.347,1311.085,361.979,32.330,115.392,108.250,7.555,5.942,10986.543,976.429,2338.993
