dataset,abbreviation,BORF,BRITS,GRU-D,KNN,LGBM,NCDE,RAINDROP,RIFC,ROCKET,SAITS,SVM,TIMESNET
Abf,ABF,,8.166,5.759,,,2051.463,1.511,0.092,0.001,16.274,0.431,11.993
Animals,AN,,509.695,23.517,,,24.076,4.036,0.217,0.042,40.309,0.101,28.939
AsphaltObstaclesCoordinates,AOC,,905.503,503.183,,,28.382,1.785,1.130,0.733,903.386,16.903,438.134
AsphaltPavementTypeCoordinates,APT,,10144.365,3822.876,,,5.005,21269.622,5.960,0.203,7034.312,223.576,1362.997
AsphaltRegularityCoordinates,ARC,,140403.396,5490.399,,,60.472,7612.710,4.626,0.622,10872.198,98.923,1290.353
CharacterTrajectories,CT,,4778.682,719.183,,,85.188,83.576,3.821,2.785,590.361,4.403,291.713
DodgerLoopDay,DD,,478.414,23.707,,,29.107,8.843,0.029,0.348,83.916,0.248,29.676
DodgerLoopGame,DG,,215.390,5.704,,,68.396,9.347,0.099,0.003,7.435,0.158,11.644
DodgerLoopWeekend,DW,,903.844,39.115,,,141.053,36.586,0.084,0.017,102.588,0.194,378.018
GestureMidAirD1,GM1,,2848.751,163.103,,,41.732,19.386,0.135,0.767,168.505,0.447,103.904
GestureMidAirD2,GM2,,1938.994,85.871,,,100.114,37.235,0.132,0.598,458.720,0.201,265.770
GestureMidAirD3,GM3,,1117.697,222.120,,,38.867,18.191,0.159,1.050,121.901,0.429,26.236
GesturePebbleZ1,GP1,,5500.153,14.335,,,26.979,8.574,0.235,0.275,360.462,1.044,165.313
GesturePebbleZ2,GP2,,1563.236,52.779,,,25.455,8.551,0.048,0.272,78.372,1.401,149.012
GeolifeSupervised,GS,,,,,,6529.964,,22.262,136.126,,,
AllGestureWiimoteX,GX,,1651.781,132.802,,,24.985,4.859,0.153,1.134,340.581,2.046,372.535
AllGestureWiimoteY,GY,,446.996,76.582,,,10.804,2.092,0.203,0.477,362.466,1.782,197.832
AllGestureWiimoteZ,GZ,,3059.356,66.643,,,24.214,2.833,0.171,0.718,647.416,0.266,225.279
InsectWingbeat,IW,,137.917,62.032,,,8866.588,1596.181,850.906,2.375,247.735,,1060.201
JapaneseVowels,JV,,78.891,0.299,,,26.737,7.467,2.207,0.425,112.137,0.853,41.875
Ldfpa,LPA,,11203.636,303.033,,,10.021,17148.760,1.263,0.431,5075.902,1.291,26815.117
Mimic3,MI3,,334.818,10.100,,,15.800,2.210,0.153,0.235,34.820,0.139,12.420
MelbournePedestrian,MP,,7.461,12.953,,,85.315,207.343,1.254,0.895,241.330,18.224,89.905
Physionet2012,P12,,32358.881,947.514,,,204.531,12025.040,34.131,0.910,1249.926,24.948,1145.292
Physionet2019,P19,,112157.206,6109.956,,,,72193.618,919.020,2.344,22038.010,,6196.470
Pamap2,PAM,,,,,,,,97.177,92.013,,,
Garment,PGE,,164.791,68.796,,,122.824,0.512,0.033,0.099,25.256,0.135,3.274
PickupGestureWiimoteZ,PGZ,,670.304,141.592,,,28.263,14.724,0.173,0.044,62.939,0.213,15.245
PLAID,PL,,23275.129,3922.398,,,1.702,8391.806,0.019,1.432,2238.769,2.749,1166.978
SpokenArabicDigits,SAD,,5647.929,133.045,,,143.076,398.153,53.277,0.911,536.377,1485.805,936.475
Seabirds,SE,,34115.370,119.877,,,30.638,2925.085,0.065,0.631,14909.056,35.868,593.700
ShakeGestureWiimoteZ,SGZ,,119.343,29.107,,,69.055,5.242,0.066,0.119,20.072,0.073,33.525
Taxi,TA,,,20523.716,,,6508.957,7434.668,18.725,9.165,30354.087,,29582.872
Vehicles,VE,,5835.763,589.076,,,48.704,26.611,0.264,0.136,6395.733,12.131,196.150
